"NOMBRE_EST","NIVMOD","NIVELMODAL","TIPEST","COMUNA","ESTADO","POINT_X","POINT_Y","nivel","long","lat","niv","num_niv","geometry"
"Instituto de Formación Técnica Superior N° 09","SNUCom - OSEAdu","Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Instituto de Educación Superior (Formación Técnica)",1,"1",107902.0393,101706.4414,"Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3771410388807,-34.6138574824904,"Superior",1,c(-58.3771410388807, -34.6138574824904)
"Primera Infancia Espacio Barracas","OSECom","Otros Servicios Educativos de la modalidad Común","Primera Infancia",4,"1",108273.8931,98426.5002,"Otros Servicios Educativos de la modalidad Común",-58.3730547946134,-34.6434211974474,"Otros",1,c(-58.3730547946134, -34.6434211974474)
"Jardín de Infantes Nucleado D (EPCjs 22/02°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",5,"1",104425.1532,102539.5685,"Inicial Común",-58.4150550190606,-34.6063680277686,"Inicial",1,c(-58.4150550190606, -34.6063680277686)
"Esc. Integral Interdisciplinaria N° 12","PriEsp","Nivel Primario Especial","Escuela de Integración Interdisciplinaria",11,"1",99565.2305,101751.7905,"Primario Especial",-58.4680401590471,-34.6134785716687,"Primario",1,c(-58.4680401590471, -34.6134785716687)
"Inst. Benito Nazar","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",103479.9257,103467.0015,"Inicial, Primario y Secundario Común",-58.4253639802421,-34.5980113414666,"Inicial a Secundario",3,c(-58.4253639802421, -34.5980113414666)
"Esc. Primaria Común N° 25 Inspector General  Alfredo Daniel Zumda","PriCom","Nivel Primario Común","Escuela de Jornada Completa",11,"1",98541.2412,101453.8403,"Primario Común",-58.4792055548214,-34.6161634167228,"Primario",1,c(-58.4792055548214, -34.6161634167228)
"Jardín de Infantes Común N° 01/13°","IniCom","Nivel Inicial Común","Jardín de Infantes Común",8,"1",97588.0353,96037.0033,"Inicial Común",-58.4896147514387,-34.6649909362184,"Inicial",1,c(-58.4896147514387, -34.6649909362184)
"Centro de Alfabetización, Educación Básica y Trabajo N° 56","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",4,"1",106073.2732,97417.3189,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3970502488127,-34.652533596022,"Primario",1,c(-58.3970502488127, -34.652533596022)
"Escuela Infantil N° 07/05° Padre Daniel de la Sierra","IniCom","Nivel Inicial Común","Escuela Infantil",4,"1",106308.9148,97881.5951,"Inicial Común",-58.394483203079,-34.6483470372485,"Inicial",1,c(-58.394483203079, -34.6483470372485)
"Esc. Primaria Común N° 20 Pedro Medrano","PriCom","Nivel Primario Común","Escuela de Jornada Completa",11,"1",94754.3772,102644.9723,"Primario Común",-58.5204887528136,-34.6054134909153,"Primario",1,c(-58.5204887528136, -34.6054134909153)
"Esc. Integral Interdisciplinaria Nª 01","PriEsp - OSEEsp","Nivel Primario Especial - Otros Servicios Educativos de la modalidad Especial","Escuela de Integración Interdisciplinaria",2,"1",106188.1522,103467.4734,"Primario Especial",-58.3958408620573,-34.5979944829264,"Primario",1,c(-58.3958408620573, -34.5979944829264)
"Centro Educativo de Nivel Primario N° 34 - Parroquia Santa Elena","PriAdu","Nivel Primario de Jóvenes y Adultos","Centro Educativo de Nivel Primario",14,"1",104691.2826,105764.4841,"Primario de Jóvenes y Adultos",-58.4121711818784,-34.5772960561372,"Primario",1,c(-58.4121711818784, -34.5772960561372)
"Jardín de Infantes Nucleado C (EPCjs 03/02°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",5,"1",103045.2,102906.6181,"Inicial Común",-58.4301010723938,-34.6030642352213,"Inicial",1,c(-58.4301010723938, -34.6030642352213)
"Inst. María Ana Mogas","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",9,"1",95293.6958,96774.6849,"Inicial, Primario y Secundario Común",-58.5146419432467,-34.6583331314088,"Inicial a Secundario",3,c(-58.5146419432467, -34.6583331314088)
"Esc. Técnica N° 12 Libertador Gral. José de San Martín","SecCom","Nivel Secundario Común","Escuela Técnica",1,"1",107893.9171,104139.9884,"Secundario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3772520701001,-34.5919205399087,"Secundario",1,c(-58.3772520701001, -34.5919205399087)
"Inst. Colina de Roble","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",100681.1123,109788.6267,"Inicial, Primario y Secundario Común",-58.4558792831423,-34.5410307289748,"Inicial a Secundario",3,c(-58.4558792831423, -34.5410307289748)
"Esc. Primaria Común N° 20 Vicealmirante Vicente E. Montes","PriCom","Nivel Primario Común","Escuela de Jornada Completa",13,"1",100865.4931,108707.578,"Primario Común",-58.4538696378133,-34.5507757246365,"Primario",1,c(-58.4538696378133, -34.5507757246365)
"Esc. Primaria Común N° 12 Reconquista","PriCom","Nivel Primario Común","Escuela de Jornada Completa",7,"1",100286.0989,99009.8225,"Primario Común",-58.4601795659981,-34.6381958368134,"Primario",1,c(-58.4601795659981, -34.6381958368134)
"Jardín Trampliín","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",3,"1",106038.9035,100955.5363,"Otros Servicios Educativos de la modalidad Común",-58.3974501500972,-34.6206389958095,"Otros",1,c(-58.3974501500972, -34.6206389958095)
"Colegio del Arce","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",14,"1",102974.1834,106459.85,"Inicial, Primario y Secundario Común",-58.4308875004111,-34.5710340156301,"Inicial a Secundario",3,c(-58.4308875004111, -34.5710340156301)
"Esc. Primaria Común N° 03 República de Costa Rica","PriCom","Nivel Primario Común","Escuela de Jornada Completa",12,"1",97954.5066,107456.7287,"Primario Común",-58.4855882613248,-34.5620496726762,"Primario",1,c(-58.4855882613248, -34.5620496726762)
"Esc. Normal Superior N° 02 en Lenguas Vivas Mariano Acosta","IniCom - PriCom - SecCom - SNUCom","Nivel Inicial, Primario, Secundario y Terciario No Universitario Común","Escuela Normal Superior",3,"1",104884.1086,101725.5677,"Inicial, Primario, Secundario y Terciario No Universitario Común",-58.4100466861398,-34.6137037094421,"Inicial a Terciario",4,c(-58.4100466861398, -34.6137037094421)
"Inst. Religiosas de San José","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",102473.5295,104016.944,"Inicial, Primario y Secundario Común",-58.4363365520322,-34.5930567836966,"Inicial a Secundario",3,c(-58.4363365520322, -34.5930567836966)
"Jardín de Infantes Nucleado C (EPCjc 14/15°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",12,"1",97048.5767,108633.74,"Inicial Común",-58.4954556441554,-34.5514372631236,"Inicial",1,c(-58.4954556441554, -34.5514372631236)
"Jardín de Infantes Nucleado C (EPCjs 13/07°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",11,"1",100013.229,101957.767,"Inicial Común",-58.4631554860367,-34.6116219307363,"Inicial",1,c(-58.4631554860367, -34.6116219307363)
"Esc. Primaria Común N° 07 Presidente Roca","PriCom","Nivel Primario Común","Escuela de Jornada Completa",1,"1",107298.1098,103058.4361,"Primario Común",-58.3837374263861,-34.6016744880781,"Primario",1,c(-58.3837374263861, -34.6016744880781)
"Jardín de Infantes Nucleado A (EPCjs 09/19°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",8,"1",103229.9269,96504.7557,"Inicial Común",-58.4280632132708,-34.6607725093804,"Inicial",1,c(-58.4280632132708, -34.6607725093804)
"Centro Educativo de Nivel Secundario N° 40","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",14,"1",103972.6216,104059.5526,"Secundario de Jóvenes y Adultos",-58.4199956991059,-34.5926680667772,"Secundario",1,c(-58.4199956991059, -34.5926680667772)
"Esc. Primaria Común N° 07 Olegario Víctor Andrade","PriCom","Nivel Primario Común","Escuela de Jornada Completa",3,"1",104905.0364,100017.6056,"Primario Común",-58.4098087363587,-34.6290998552125,"Primario",1,c(-58.4098087363587, -34.6290998552125)
"Jardín de Infantes Nucleado D (EPCjs 04/03°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",1,"1",107902.0393,101706.4414,"Inicial Común",-58.3771410388807,-34.6138574824904,"Inicial",1,c(-58.3771410388807, -34.6138574824904)
"Centro de Alfabetización, Educación Básica y Trabajo N° 22","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",4,"1",106252.9318,96675.067,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3950850264085,-34.6592234379508,"Primario",1,c(-58.3950850264085, -34.6592234379508)
"Centro de Formación Profesional - Fundación Excelencia","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional (Privado)",1,"1",107051.988,101918.9082,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.3864111900914,-34.6119483690185,"Otros",1,c(-58.3864111900914, -34.6119483690185)
"Esc. Primaria Común N° 08 Carmen Catrén de Méndez Casariego","PriCom","Nivel Primario Común","Escuela de Jornada Completa",15,"1",100826.3005,104101.6842,"Primario Común",-58.4542924673157,-34.5922954562596,"Primario",1,c(-58.4542924673157, -34.5922954562596)
"Esc. Superior de Educación Artística en Danza N° 01 Prof. Nelly Ramicone","SecCom - SNUCom - OSECom","Nivel Secundario Común - Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",9,"1",95944.2409,98166.4232,"Secundario Común - Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común",-58.5075382807391,-34.6457903314742,"Secundario a Superior",2,c(-58.5075382807391, -34.6457903314742)
"Inst. Social Militar Dr. Dámaso Centeno","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","No Corresponde - Gob Nac",6,"1",101817.8769,100837.78,"Inicial, Primario y Secundario Común",-58.4434769763657,-34.6217164339877,"Inicial a Secundario",3,c(-58.4434769763657, -34.6217164339877)
"Inst. María Auxiliadora","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",4,"1",109290.184,99253.6477,"Inicial y Primario Común",-58.3619789173683,-34.6359563420716,"Inicial a Primario",2,c(-58.3619789173683, -34.6359563420716)
"Centro Educativo de Nivel Secundario N° 69","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",2,"1",106046.2363,105392.4356,"Secundario de Jóvenes y Adultos",-58.3974015024951,-34.5806428643186,"Secundario",1,c(-58.3974015024951, -34.5806428643186)
"Centro Educativo de Nivel Secundario N° 59","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",3,"1",106053.0388,100694.542,"Secundario de Jóvenes y Adultos",-58.3972941696817,-34.622991618205,"Secundario",1,c(-58.3972941696817, -34.622991618205)
"Inst. Damasa Zelaya de Saavedra","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",12,"1",96258.7627,106138.5564,"Inicial, Primario y Secundario Común",-58.5040719620312,-34.5739274415449,"Inicial a Secundario",3,c(-58.5040719620312, -34.5739274415449)
"UGEE Nº 21 Bachillerato Popular de Jóvenes y Adultos Graciela Acosta","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",4,"1",105313.904,98282.81,"Secundario de Jóvenes y Adultos",-58.4053391310608,-34.6447359314897,"Secundario",1,c(-58.4053391310608, -34.6447359314897)
"Esc. Primaria p/Adultos N° 18 Dr. Rafael Herrera Vegas","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",2,"1",105320.2384,105051.4739,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4053120453712,-34.5837204239835,"Primario",1,c(-58.4053120453712, -34.5837204239835)
"Escuela Infantil Cura Brochero","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",4,"1",105438.2829,98059.459,"Inicial Común",-58.4039810629767,-34.6467486516498,"Inicial",1,c(-58.4039810629767, -34.6467486516498)
"CENOF Centro Cáritas Lugano","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",8,"1",99464.7636,95416.4986,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4691399934725,-34.6705871710396,"Otros",1,c(-58.4691399934725, -34.6705871710396)
"Esc. para Niños y Niñas con Severos Trastornos de la Personalidad N° 17 Arminda Aberastury","IniEsp - PriEsp","Nivel Inicial y Primario Especial","Escuela de Educación Especial",14,"1",104533.2567,105060.5067,"Inicial y Primario Especial",-58.4138897287225,-34.5836427300966,"Inicial a Primario",2,c(-58.4138897287225, -34.5836427300966)
"Centro de Alfabetización, Educación Básica y Trabajo N° 06","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",8,"1",101313.9632,96332.8401,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4489651481983,-34.6623263611281,"Primario",1,c(-58.4489651481983, -34.6623263611281)
"Escuela Secundaria Integral Scholem Aleijem","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",101815.6241,103405.7118,"Inicial, Primario y Secundario Común",-58.4435068696093,-34.5985680357501,"Inicial a Secundario",3,c(-58.4435068696093, -34.5985680357501)
"Instituto de Formación Técnica Superior N° 13","SNUCom - OSEAdu","Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Instituto de Educación Superior (Formación Técnica)",6,"1",103035.1105,100770.667,"Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.430203565431,-34.6223186034279,"Superior",1,c(-58.430203565431, -34.6223186034279)
"Colegio de los Niños","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",14,"1",104043.1958,104749.6991,"Inicial, Primario y Secundario Común",-58.4192296397156,-34.5864465088425,"Inicial a Secundario",3,c(-58.4192296397156, -34.5864465088425)
"Esc. de Comercio N° 02 Dr. Antonio Bermejo","SecCom - SecAdu","Nivel Secundario Común - Nivel Secundario de Jóvenes y Adultos","Escuela de Comercio",3,"1",106463.6463,103061.5235,"Secundario Común - Secundario de Jóvenes y Adultos",-58.3928345622051,-34.6016522048688,"Secundario",1,c(-58.3928345622051, -34.6016522048688)
"Esc. de Educacion Media N° 03/19°","SecCom","Nivel Secundario Común","Escuela de Educación Media",7,"1",102789.1255,97906.1159,"Secundario Común",-58.4328766572127,-34.6481414316066,"Secundario",1,c(-58.4328766572127, -34.6481414316066)
"Platerillo","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",12,"1",96237.2038,105009.2784,"Inicial Común",-58.5043119866352,-34.5841071917189,"Inicial",1,c(-58.5043119866352, -34.5841071917189)
"Esc. Superior de Educación Artística en Danza Aída Victoria Mastrazzi","SecCom - SNUCom - OSECom","Nivel Secundario Común - Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",1,"1",107832.0824,102693.4219,"Secundario Común - Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común",-58.377912847792,-34.6049609717326,"Secundario a Superior",2,c(-58.377912847792, -34.6049609717326)
"Inst. Ntra. Sra. de Luján","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",4,"1",105876.9659,99298.5808,"Inicial, Primario y Secundario Común",-58.3992045770957,-34.6355763591147,"Inicial a Secundario",3,c(-58.3992045770957, -34.6355763591147)
"Jardín de Infantes Nucleado A (EPCjs 15/05°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",4,"1",108087.9261,99111.4925,"Inicial Común",-58.3750896690737,-34.6372479044539,"Inicial",1,c(-58.3750896690737, -34.6372479044539)
"Esc. Primaria Común N° 05 Agustín Alvarez","PriCom","Nivel Primario Común","Escuela de Jornada Completa",1,"1",106883.0282,100891.5027,"Primario Común",-58.3882451049191,-34.6212109491481,"Primario",1,c(-58.3882451049191, -34.6212109491481)
"CENOF Centro Museo Quinquela Martín","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",4,"1",109377.8886,98915.4427,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3610186705906,-34.6390042501933,"Otros",1,c(-58.3610186705906, -34.6390042501933)
"Colegio N° 01 Bernardino Rivadavia","SecCom","Nivel Secundario Común","Colegio",1,"1",106922.022,100764.5039,"Secundario Común",-58.3878188763785,-34.6223555056315,"Secundario",1,c(-58.3878188763785, -34.6223555056315)
"Esc. Primaria Común N° 06 Dr. Adolfo Saldías","PriCom","Nivel Primario Común","Escuela de Jornada Completa",4,"1",104206.9206,96882.7061,"Primario Común",-58.4174065641306,-34.657362042206,"Primario",1,c(-58.4174065641306, -34.657362042206)
"Conservatorio Superior de Música Manuel de Falla - Anexo 2","SNUCom - OSECom","Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común","No Corresponde - Cultura",14,"1",104883.4852,105126.0956,"Superior No Universitario Común - Otros Servicios Educativos de la modalidad Común",-58.4100728211539,-34.5830498958465,"Superior",1,c(-58.4100728211539, -34.5830498958465)
"Centro de Actividades Infantiles y Juveniles Club de Chicos Balvanera","OSECom","Otros Servicios Educativos de la modalidad Común","Centro de Actividades Infantiles y Juveniles",3,"1",105562.075,101291.5491,"Otros Servicios Educativos de la modalidad Común",-58.4026517802069,-34.6176127133492,"Otros",1,c(-58.4026517802069, -34.6176127133492)
"Mundo Naranja","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",14,"1",103578.5229,104160.0097,"Otros Servicios Educativos de la modalidad Común",-58.4242920201264,-34.5917639299984,"Otros",1,c(-58.4242920201264, -34.5917639299984)
"Esc. de Comercio N° 19 Juan Montalvo","SecCom","Nivel Secundario Común","Escuela de Comercio",6,"1",103051.1163,100918.663,"Secundario Común",-58.4300295537138,-34.6209844621555,"Secundario",1,c(-58.4300295537138, -34.6209844621555)
"Centro Educativo de Nivel Secundario N° 19","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",6,"1",100955.172,101110.7467,"Secundario de Jóvenes y Adultos",-58.4528845271586,-34.6192569227242,"Secundario",1,c(-58.4528845271586, -34.6192569227242)
"Escuela Hogar Dr. Miguel V. Loureyro","PriCom","Nivel Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",101173.1605,100435.3888,"Primario Común",-58.4505066776436,-34.6253446525401,"Primario",1,c(-58.4505066776436, -34.6253446525401)
"Jardín de Infantes Nucleado A (EPCjc 01/12°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",7,"1",100060.043,100186.034,"Inicial Común",-58.4626450597042,-34.6275930436266,"Inicial",1,c(-58.4626450597042, -34.6275930436266)
"Inst. Virginio F. Grego","IniCom - PriCom - PriAdu - SecCom","Nivel Inicial, Primario y Secundario Común - Nivel Primario de Jóvenes y Adultos","Instituto Educativo Incorporado a la Enseñanza Oficial",7,"1",100485.3086,99605.5452,"Inicial, Primario y Secundario Común - Primario de Jóvenes y Adultos",-58.4580071807817,-34.6328257031815,"Inicial a Secundario",3,c(-58.4580071807817, -34.6328257031815)
"Jardín Maternal N° 05/20°","IniCom","Nivel Inicial Común","Jardín Maternal",8,"1",97351.1781,94930.0963,"Inicial Común",-58.4922024112896,-34.6749683582991,"Inicial",1,c(-58.4922024112896, -34.6749683582991)
"Escuela Infantil Mis Primeros Años","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",6,"1",100552.6313,102702.0382,"Otros Servicios Educativos de la modalidad Común",-58.4572747873033,-34.604912639303,"Otros",1,c(-58.4572747873033, -34.604912639303)
"Esc. Primaria Común N° 11 Dr. Pedro Goyena","PriCom","Nivel Primario Común","Escuela de Jornada Completa",9,"1",99467.0935,98436.8699,"Primario Común",-58.4691124750626,-34.6433605009184,"Primario",1,c(-58.4691124750626, -34.6433605009184)
"Jardín de Infantes Común N° 04/01° Cinco Esquinas","IniCom","Nivel Inicial Común","Jardín de Infantes Común",1,"1",107197.156,104102.4166,"Inicial Común",-58.3848467803323,-34.5922643100367,"Inicial",1,c(-58.3848467803323, -34.5922643100367)
"Jardín de Infantes Nucleado B (EPCjs 24/18°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",10,"1",94386.2585,99620.0564,"Inicial Común",-58.5245222877435,-34.6326793161641,"Inicial",1,c(-58.5245222877435, -34.6326793161641)
"Jardín de Infantes Nucleado D (EPCjs 24/17°) Victoria Ocampo","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",10,"1",96551.3137,102105.909,"Inicial Común",-58.5009003377331,-34.6102805379487,"Inicial",1,c(-58.5009003377331, -34.6102805379487)
"Escuela Infantil N° 05/19° San Lorenzo de Almagro","IniCom","Nivel Inicial Común","Escuela Infantil",8,"1",102203.9761,97121.7848,"Inicial Común",-58.4392573810345,-34.6552130629355,"Inicial",1,c(-58.4392573810345, -34.6552130629355)
"Jardín de Infantes Común N° 03/05°","IniCom","Nivel Inicial Común","Jardín de Infantes Común",4,"1",106964.1614,97339.0627,"Inicial Común",-58.3873314414428,-34.6532334049522,"Inicial",1,c(-58.3873314414428, -34.6532334049522)
"Esc. Primaria p/Adultos N° 05 Gabriela Mistral","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",11,"1",95507.4438,104638.8954,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.5122679595705,-34.587443018863,"Primario",1,c(-58.5122679595705, -34.587443018863)
"Inst. Superior de Seguridad y Salud Ocupacional","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",101349.4647,108292.5671,"Superior No Universitario Común",-58.4485960798302,-34.5545163451672,"Superior",1,c(-58.4485960798302, -34.5545163451672)
"Esc. Primaria Común N° 07 Manuel J. García","PriCom","Nivel Primario Común","Escuela de Jornada Completa",13,"1",99609.5284,108868.6271,"Primario Común",-58.4675534348831,-34.549324169724,"Primario",1,c(-58.4675534348831, -34.549324169724)
"Kindergarten Murrungato","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",12,"1",97565.6961,105471.7055,"Inicial Común",-58.489830779793,-34.5799427410257,"Inicial",1,c(-58.489830779793, -34.5799427410257)
"Escuela Infantil Niños del Siglo XXI sede","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",14,"1",103497.0357,105399.4062,"Otros Servicios Educativos de la modalidad Común",-58.4251852895376,-34.5805917301737,"Otros",1,c(-58.4251852895376, -34.5805917301737)
"Centro Argentino de Vinos y Espirituosas","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",107747.1802,104017.6287,"Superior No Universitario Común",-58.3788504634999,-34.5930246525352,"Superior",1,c(-58.3788504634999, -34.5930246525352)
"Esc. Primaria Común N° 24 Padre Castañeda","PriCom","Nivel Primario Común","Escuela de Jornada Completa",10,"1",98224.1996,100291.88,"Primario Común",-58.4826649744922,-34.6266372726249,"Primario",1,c(-58.4826649744922, -34.6266372726249)
"Centro Educativo de Nivel Secundario N° 43","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",1,"1",107902.0393,101706.4414,"Secundario de Jóvenes y Adultos",-58.3771410388807,-34.6138574824904,"Secundario",1,c(-58.3771410388807, -34.6138574824904)
"Esc. Primaria Común N° 16 Rdo. Padre Agustín P. Nores","PriCom","Nivel Primario Común","Escuela de Jornada Simple",11,"1",94475.3426,101670.0061,"Primario Común",-58.5235372659695,-34.6142007578043,"Primario",1,c(-58.5235372659695, -34.6142007578043)
"UGEE N° 03 Bachillerato Popular de Adultos y Adolescentes Maderera Córdoba","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",2,"1",104789.6319,103481.3351,"Secundario de Jóvenes y Adultos",-58.4110865905482,-34.5978769285045,"Secundario",1,c(-58.4110865905482, -34.5978769285045)
"Centro de Alfabetización, Educación Básica y Trabajo N° 01","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",1,"1",107774.6875,105160.5438,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3785610038583,-34.5827217093169,"Primario",1,c(-58.3785610038583, -34.5827217093169)
"Jardín de Infantes Nucleado A (EPCjc 21/03°) Francisco Canaro","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",3,"1",106579.0197,100525.5237,"Inicial Común",-58.3915572906801,-34.6245120046212,"Inicial",1,c(-58.3915572906801, -34.6245120046212)
"Centro Educativo de Nivel Secundario N° 10","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",15,"1",99804.3186,103979.7299,"Secundario de Jóvenes y Adultos",-58.4654326513776,-34.5933950650951,"Secundario",1,c(-58.4654326513776, -34.5933950650951)
"Escuela Infantil Jardín Modelo","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",6,"1",101128.9514,100518.4278,"Otros Servicios Educativos de la modalidad Común",-58.450988876573,-34.6245961535923,"Otros",1,c(-58.450988876573, -34.6245961535923)
"Jardín de Infantes Nucleado C (EPCjs 17/16°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",12,"1",96919.4221,104883.8306,"Inicial Común",-58.4968766370763,-34.5852403435108,"Inicial",1,c(-58.4968766370763, -34.5852403435108)
"Esc. Primaria p/Adultos N° 05 Armada Argentina","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",8,"1",99787.9149,94359.9489,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4656144945889,-34.6801113820125,"Primario",1,c(-58.4656144945889, -34.6801113820125)
